Симптоми,Диагноза,Предотвратяване,Лекар
"Силно зачервени очи, Размазано зрение, Болка в очите, Парене в очите, Чувствителност към светлината, Мускулни спазми около окото",Абразио - ерозия на роговицата,"Обезболяващи очни капки, за да се успокои болката.",Очен лекар
"Подути,Болезнени,Зачервени и топли бучка на кожата, Висока температура, Гадене, Повръщане",Абсцес,"Топли компреси. Инцизия и дренаж от лекар. Антибиотици.",Дерматолог
"Задух, Суха кашлица, Стягане в гърдите, Болки в гръдния кош, Загуба на апетит, Пращящ звук в белите дробове при дишане"Азбестоза,"Отказ на тютюнопушенето. Кислород от маска или пластмасова тръба, която се вкарва в ноздрите. Ваксини  за грип и пневмония за намаляване на риска от инфекция на дихателните пътища",Пулмолог
"Синя петниста кожа по ръцете и краката, Студени ръце, Студени крака, Подуване и прекомерно потене",Акроцианоза"Лекарства за разширяване на кръвоносните съдове. Операция за намаляване на потенето, чрез прерязване на симпатетичните нерви, в редки случаи.",Кардиолог
"Диария, Стомашни болки и крампи, Висока температура, Повръщане, Слабост, Загуба на тегло, Болка при дефекация",Амебиаза,"Амебиазата обикновено се лекува с антибиотици. Ако сте диагностицирани с амебиаза трябва да се третирате дори да нямате симптоми. Според състоянието ви може да се нуждаете от един антибиотик или два различни вида в комбинация. Трябва да изследвате изпражненията си след лечението, за да се уверите, че инфекцията е изчезнала. ",Гастроентеролог
"Умора, Недостиг на дъх, Отоци по ръцете и краката, Проблеми при преглъщане, Проблеми със сърдечния ритъм, Изтръпвания в ръцете и стъпалата, Подут език, Болки в ставите, Мускулна слабост, Дрезгав глас, Диария, Малко количество урина.",Амилоидоза,"Промени в диетата, ако бъбреците са засегнати",Хематолог
"Подуване около очите, Подуване около устните, Подуване около гърлото, Подуване около ръцете, Подуване около краката, Подуване около гениталиите, Спазми в корема",Ангиоедем,"Спешно лечение, които да поддържат дихателните пътища отворени",Алерголог
"Слабост, Бледост на кожата, Лесна уморяемост, Световържеж, Главоболие, Болки в кръста, Задух, Промяна във вкусовите предпочитания",Анемия,"ЖДА (желязо-дефицитната анемия)  и витамино-дефицитната анемия обикновено се лекуват с препарати съдържащи желязо, Вит. В12 и фолиева киселина в зависимост от вида на дефицита.",Хематолог
"Неспособност да помиришете миризми, Съкратена способност за усещане на вкуса на храна",Аносмия,"Елиминирането на токсини, като например цигарения дим или въздухо замърсители.",Отоларинголог
"Главоболие, Болки в гърлото, Мускулни болки, Кашлица, Затруднено дишане, Гръдна болка, Треска, Общо чувство на нерзположение",Антракс,"Лечението за вдишан антракс е комбинация от интравенозни антибиотици.",Инфекционист
"Абдоминална болка, Коремна болка, Гадене, Повръщане, Загуба на апетит, Субфебрилна температура, Запек, Подуване на корема, Невъзможност да се отделят газове",Апендицит,"Лечението на апендицита включва: оперативно лечение (апендектомия) и антибиотици.",Хирург
"Замъглено зрение на близо и далече, Трудност при четене на дребен шрифт, Трудност при взиране в детайлите, Главоболие от напрежение на очите",Астигматизъм,"Поставяне на специална твърда леща, която постепенно да коригира роговицата, за да се компенсира астигматизма.",Офталмолог
"Хрипове, Стягане в гърдите, Болка в гърдите, Затруднено дишане, Кашлица, Затруднено издишване, Задух, Посиняване на устните, Затруднен говор, Объркване, Изпотяване, Безпокойство, Учестен пулс.",Астма,"Кратко-действащи бронходилататори и перорални кортикостероиди.",Пулмолог
"Болка в областта на корема, Подуване в областта на корема, Дискомфорт в областта на корема",Асцит,"Диуретици за редукция на течността. Диета, бедна на сол.",Гастроентеролог
"Зачервяване в очите, Подуване в очите, Сърбеж в очите, Парене в очите, Усещането че нещо е заседнало в окото, прекомерно сълзене, повишена чувствителност към светлина, образуване на твърди корички по клепачите след ставане от сън или замъглено зрение",Блефарит,"Влажни, топли компреси; антибиотични кремове или таблетки.",Очен лекар
